City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,mandiana,10.6333,-8.6833,22.72,17,37,2.47,GN,1702176316
148,baixo guandu,-19.5189,-41.0158,22.65,95,100,0.63,BR,1702176316
149,enewetak,11.3474,162.3373,27.55,79,10,8.21,MH,1702176317
150,isabela,6.7085,121.9711,30.03,71,46,3.16,PH,1702176317
151,south bay,26.664,-80.7162,20.57,82,58,3.53,US,1702176317
152,kone,-21.0595,164.8658,29.33,40,99,4.5,NC,1702176317
153,coronel dorrego,-38.7187,-61.2873,16.84,70,0,4.69,AR,1702176318
154,shimoda,34.6667,138.95,18.95,49,0,1.64,JP,1702176318
155,lerwick,60.1545,-1.1494,8.0,89,100,8.93,GB,1702176318
156,murakami,38.2333,139.4833,13.94,77,100,2.25,JP,1702176318
157,richfield,44.8833,-93.283,-1.29,87,100,7.72,US,1702176267
158,ust-nera,64.5667,143.2,-16.26,99,100,1.88,RU,1702176319
159,tieli,46.95,128.05,-21.95,84,31,2.83,CN,1702176319
160,fale old settlement,-9.3852,-171.2468,29.05,74,100,3.12,TK,1702176319
161,roma,43.2128,-75.4557,11.04,80,100,3.6,US,1702176250
162,aykhal,66.0,111.5,-29.28,98,100,2.28,RU,1702176319
163,champasak,14.75,106.0,26.49,52,92,0.67,LA,1702176320
164,port elizabeth,-33.918,25.5701,13.94,87,0,2.57,ZA,1702176320
165,panjab,34.388,67.0233,-4.1,53,99,1.16,AF,1702176320
166,sitka,57.0531,-135.33,2.94,93,100,1.54,US,1702176320
167,essaouira,31.5125,-9.77,14.72,58,0,0.51,MA,1702176320
168,mersrags,57.3354,23.1246,-2.75,89,100,5.7,LV,1702176321
169,xam nua,20.4197,104.0439,26.18,56,2,1.1,LA,1702176321
170,tazovsky,67.4667,78.7,-38.11,100,52,1.97,RU,1702176322
171,beihai,21.4833,109.1,23.78,82,75,5.13,CN,1702176322
172,santyoku,37.4406,129.1708,11.83,73,97,3.91,KR,1702176322
173,acapulco de juarez,16.8634,-99.8901,27.9,78,100,1.54,MX,1702176303
174,lata,40.1629,-8.3327,17.12,96,100,1.4,PT,1702176323
175,linden,6.0,-58.3,22.62,96,11,1.29,GY,1702176324
176,patong,7.8961,98.2966,29.08,77,20,1.95,TH,1702176324
177,trincomalee,8.5711,81.2335,27.33,80,88,3.53,LK,1702176324
178,pursat,12.3333,103.6667,30.16,58,94,1.22,KH,1702176325
179,weno,7.4515,151.8468,29.97,79,100,3.6,FM,1702176325
180,kapa'a,22.0752,-159.319,26.18,76,0,3.09,US,1702176325
181,ketchikan,55.3422,-131.6461,7.99,93,100,4.63,US,1702176325
182,puerto deseado,-47.7503,-65.8938,11.63,53,4,2.99,AR,1702176326
183,glace bay,46.1969,-59.957,-0.62,93,20,2.06,CA,1702176326
184,ust'-kulom,61.6864,53.6902,-29.11,100,96,0.56,RU,1702176326
185,balaklava,44.5,33.6,6.32,76,100,1.5,UA,1702176326
186,wailua homesteads,22.0669,-159.378,25.44,76,0,3.09,US,1702176326
187,chui,-33.6971,-53.4616,16.1,87,68,3.41,UY,1702176326
188,howrah,22.5892,88.3103,19.0,82,3,1.54,IN,1702176327
189,shaowu,27.3409,117.4831,19.96,77,41,1.25,CN,1702176327
190,buala,-8.145,159.5921,28.49,79,100,2.36,SB,1702176327
191,la passe,45.5549,-0.8967,11.1,90,100,3.68,FR,1702176327
192,kapuskasing,49.4169,-82.4331,1.05,100,100,5.66,CA,1702176145
193,vadso,70.0744,29.7487,-11.91,85,100,8.75,NO,1702176328
194,armacao de buzios,-22.7469,-41.8817,22.03,78,100,2.21,BR,1702176039
195,arraial do cabo,-22.9661,-42.0278,23.02,71,100,2.91,BR,1702176328
196,juegang,32.3174,121.1855,13.24,98,100,6.2,CN,1702176328
197,omu-aran,8.1333,5.1,21.1,35,2,0.94,NG,1702176328
198,minas de marcona,-15.2119,-75.1103,15.27,80,100,4.56,PE,1702176329
199,mariental,-24.6333,17.9667,19.9,44,97,5.11,NA,1702176329
200,mont-dore,-22.2833,166.5833,29.99,99,100,8.01,NC,1702176329
201,mount darwin,-16.7725,31.5838,21.07,56,55,1.01,ZW,1702176329
202,tionk essil,12.7856,-16.5217,23.87,21,91,3.04,SN,1702176330
203,cabo san lucas,22.8909,-109.9124,24.73,74,0,1.54,MX,1702175986
204,thompson,55.7435,-97.8558,-7.91,93,100,1.54,CA,1702176330
205,liepaja,56.5419,21.0367,-3.01,93,100,4.63,LV,1702176330
206,klyuchi,52.2667,79.1667,-21.0,77,48,1.67,RU,1702176330
207,hithadhoo,-0.6,73.0833,28.04,76,100,1.68,MV,1702176330
208,champerico,14.3,-91.9167,26.56,77,45,3.01,GT,1702176331
209,freetown,8.484,-13.2299,26.84,89,40,3.09,SL,1702176331
210,mogadishu,2.0371,45.3438,26.61,79,14,6.03,SO,1702176331
211,al hazm,16.1641,44.7769,13.67,31,2,0.99,YE,1702176331
212,mount gambier,-37.8333,140.7667,15.9,56,100,6.44,AU,1702176331
213,palikir - national government center,6.9248,158.1611,29.47,79,100,5.14,FM,1702176332
214,utrik,11.2278,169.8474,27.29,80,64,8.39,MH,1702176332
215,shush,32.1942,48.2436,17.85,46,32,2.27,IR,1702176332
216,bondoukou,8.0333,-2.8,23.69,29,50,0.75,CI,1702176332
217,baise city,23.8997,106.6133,24.6,72,90,1.35,CN,1702176332
218,birzebbuga,35.8258,14.5269,14.38,72,20,2.57,MT,1702176333
219,alice springs,-23.7,133.8833,15.75,72,100,8.75,AU,1702176315
220,grand gaube,-20.0064,57.6608,25.77,91,100,1.79,MU,1702176333
221,poronaysk,49.2167,143.1167,-11.35,68,29,7.84,RU,1702176333
222,portland,45.5234,-122.6762,6.73,94,100,6.69,US,1702176026
223,mejit,10.2753,170.8646,27.37,81,40,8.72,MH,1702176333
224,bodo,67.28,14.405,-0.98,59,100,9.77,NO,1702176333
225,afaahiti,-17.75,-149.2833,28.93,85,90,10.35,PF,1702176334
226,lasem,-6.6922,111.4527,30.29,64,97,3.33,ID,1702176334
227,tangalle,6.024,80.7911,25.09,83,60,2.07,LK,1702176334
228,rakops,-21.0167,24.3333,21.49,73,100,3.24,BW,1702176334
229,pasuquin,18.3328,120.6177,29.97,79,40,3.09,PH,1702176335
230,kismayo,-0.3582,42.5454,26.74,76,23,4.83,SO,1702176335
231,porto novo,6.4965,2.6036,26.02,86,3,1.32,BJ,1702176335
232,borovichi,58.3878,33.9155,-12.21,92,100,4.92,RU,1702176336
233,ylitornio,66.3089,23.6773,-14.65,97,100,1.61,FI,1702176336
234,tralee,52.2704,-9.7026,6.96,95,90,3.45,IE,1702176336
235,bei'an,24.5399,109.533,22.44,83,100,2.79,CN,1702176337
236,comodoro rivadavia,-45.8667,-67.5,16.92,45,0,7.72,AR,1702176243
237,qaqortoq,60.7167,-46.0333,-5.86,76,77,2.46,GL,1702176337
238,haiku-pauwela,20.9219,-156.3051,26.01,71,40,9.26,US,1702176338
239,luba,3.4568,8.5547,23.94,83,57,2.83,GQ,1702176338
240,crane,31.3974,-102.3501,6.54,42,0,6.62,US,1702176338
241,tarawa,1.419,172.984,31.05,74,75,2.57,KI,1702176338
242,kasungu,-13.0333,33.4833,21.02,81,97,3.61,MW,1702176339
243,richards bay,-28.783,32.0377,20.93,95,100,4.86,ZA,1702176339
244,barah,13.7,30.3667,18.1,23,6,2.85,SD,1702176339
245,codrington,-38.2667,141.9667,15.63,64,99,7.63,AU,1702176339
246,san rafael,-34.6177,-68.3301,22.6,44,0,3.96,AR,1702176340
247,masina,-4.3836,15.3914,22.02,97,100,0.43,CD,1702176340
248,san antonio de pale,-1.4014,5.6325,27.16,80,51,5.23,GQ,1702176341
249,segezha,63.7415,34.3222,-14.71,90,100,6.21,RU,1702176341
250,gbongan,7.4667,4.35,22.23,97,6,0.26,NG,1702176341
251,franklin,39.9667,-83.0166,14.29,95,100,5.14,US,1702175762
252,bestobe,52.4994,73.0975,-24.39,74,83,2.39,KZ,1702176341
253,erdenet,49.0333,104.0833,-22.89,95,47,1.02,MN,1702176341
254,bamboo flat,11.7,92.7167,28.05,89,20,1.03,IN,1702176341
255,mersa matruh,31.3525,27.2453,15.11,63,0,5.14,EG,1702176342
256,burang,30.25,81.1667,-10.35,51,0,1.45,CN,1702176342
257,san pedro,14.35,121.0167,31.86,64,20,4.02,PH,1702176342
258,taltal,-25.4,-70.4833,17.14,85,25,1.18,CL,1702176342
259,huangnihe,43.5583,128.0239,-12.5,52,1,4.71,CN,1702176342
260,viqueque,-8.8673,126.3658,30.02,69,52,2.97,TL,1702176343
261,talakan,50.3167,130.3667,-23.1,82,100,4.37,RU,1702176343
262,srikakulam,18.3,83.9,23.8,71,16,2.17,IN,1702176343
263,sao sepe,-30.1606,-53.5653,16.14,87,58,3.28,BR,1702176343
264,naze,28.3667,129.4833,22.51,75,99,5.41,JP,1702176343
265,elliot,-31.3333,27.85,9.9,98,100,1.95,ZA,1702176343
266,lethem,3.3803,-59.7968,25.4,76,16,3.04,GY,1702176344
267,lebu,-37.6167,-73.65,12.17,83,0,8.98,CL,1702176344
268,ulsteinvik,62.3432,5.8487,3.51,65,97,0.89,NO,1702176344
269,todos santos,23.45,-110.2167,23.02,61,0,3.33,MX,1702176219
270,argo,37.6333,22.7333,3.74,77,9,1.58,GR,1702176344
271,wynyard,-41.0,145.7167,16.91,63,87,3.48,AU,1702176344
272,touros,-5.1989,-35.4608,26.45,71,80,6.51,BR,1702176344
273,sussex,41.1834,-74.6663,8.64,87,0,0.0,US,1702176345
274,pasni,25.2631,63.471,22.16,33,8,6.1,PK,1702176345
275,minab,27.1467,57.0801,19.67,48,0,0.85,IR,1702176345
276,nikolayevsk-on-amure,53.1406,140.73,-19.66,92,100,9.37,RU,1702176345
277,chul'man,56.8479,124.9104,-30.63,93,100,4.39,RU,1702176345
278,rosetta,31.4044,30.4164,15.0,64,97,4.28,EG,1702176345
279,belmonte,-15.8631,-38.8828,24.65,88,13,2.27,BR,1702176346
280,hasaki,35.7333,140.8333,18.22,54,0,0.74,JP,1702176346
281,meadville,41.6414,-80.1515,13.76,93,100,5.14,US,1702176346
282,guerrero negro,27.9769,-114.0611,19.89,43,0,1.47,MX,1702176346
283,baiti,13.745,-14.7482,24.94,15,40,4.22,SN,1702176346
284,turkan,40.3639,50.215,12.1,82,75,5.14,AZ,1702176346
285,boende,-0.2167,20.8667,21.85,99,100,1.55,CD,1702176347
286,barra de santo antonio,-9.4047,-35.5072,24.6,77,98,3.81,BR,1702176347
287,cockburn town,21.4612,-71.1419,26.44,78,92,12.3,TC,1702176347
288,anar darah,32.7587,61.654,8.45,41,0,0.89,AF,1702176347
289,vila do maio,15.1333,-23.2167,24.44,76,63,4.85,CV,1702176347
290,monaco,43.7314,7.419,15.87,59,0,3.09,MC,1702176347
291,midvagur,62.0511,-7.1939,4.46,70,20,4.12,FO,1702176348
292,westport,41.1415,-73.3579,10.18,90,75,0.89,US,1702176237
293,mil'kovo,55.6078,37.7956,-12.59,94,100,5.15,RU,1702176348
294,santarem,-2.4431,-54.7083,26.07,94,0,1.03,BR,1702176300
295,south venice,27.0531,-82.4243,23.01,92,100,2.57,US,1702176348
